norad_mars_2023-12_0 Contact Analysis.csv
2023/12/12 01:41:00.0000 UTC

Generated: Tue Dec 12 15:32:24 2023,
Start: 2023/12/12 01:41:00.00, Stop: 2024/01/11 01:41:00.00,
Analysis,Rise,Set,Duration,
ID,SECONDS,SECONDS,SECONDS,
TDRS 13 - TDRS 7,0.000,2592000.000,2592000.000,
TDRS 13 - HST,0.000,6459.760,6459.760,
TDRS 13 - HST,9015.019,12497.925,3482.906,
TDRS 13 - HST,15051.829,24699.958,9648.129,
TDRS 13 - HST,27237.815,30881.242,3643.427,
TDRS 13 - HST,33416.858,43133.613,9716.754,
TDRS 13 - HST,45683.302,49178.301,3494.999,
TDRS 13 - HST,51733.461,55216.348,3482.887,
TDRS 13 - HST,57769.442,67424.278,9654.835,
TDRS 13 - HST,69961.001,73607.534,3646.533,
TDRS 13 - HST,76142.566,85856.190,9713.624,
TDRS 13 - HST,88406.391,91900.550,3494.159,
TDRS 13 - HST,94456.203,104016.961,9560.758,
TDRS 13 - HST,106562.177,110156.889,3594.713,
TDRS 13 - HST,112694.347,116339.710,3645.363,
TDRS 13 - HST,118875.728,128577.269,9701.541,
TDRS 13 - HST,131127.927,134618.995,3491.068,
TDRS 13 - HST,137174.345,146737.660,9563.315,
TDRS 13 - HST,149281.549,152880.829,3599.280,
TDRS 13 - HST,155417.195,165215.538,9798.343,
TDRS 13 - HST,167757.683,171298.804,3541.120,
TDRS 13 - HST,173850.165,183383.469,9533.304,
TDRS 13 - HST,185936.437,189466.679,3530.242,
TDRS 13 - HST,192011.181,195614.070,3602.889,
TDRS 13 - HST,198151.377,207941.621,9790.243,
TDRS 13 - HST,210484.659,214019.617,3534.958,
TDRS 13 - HST,216571.264,226102.015,9530.751,
TDRS 13 - HST,228653.798,232187.389,3533.591,
TDRS 13 - HST,234730.475,244520.890,9790.414,
TDRS 13 - HST,247057.297,250663.540,3606.243,
TDRS 13 - HST,253207.115,256740.165,3533.050,
TDRS 13 - HST,265336.881,268826.561,3489.680,
TDRS 13 - HST,271379.105,274917.042,3537.938,
TDRS 13 - HST,277461.000,287252.832,9791.832,
TDRS 13 - HST,289790.382,293389.199,3598.817,
TDRS 13 - HST,295933.591,305498.902,9565.311,
TDRS 13 - HST,308054.517,311545.219,3490.702,
TDRS 13 - HST,314096.377,323794.193,9697.816,
TDRS 13 - HST,326330.609,329975.450,3644.842,
